"model1" "model2" "MEC1" "MEC2" "IAS1" "IAS2" "NF1" "NF2" "MSE_Train1" "MSE_Train2" "MSE_Test1" "MSE_Test2" "MSE_Test_MEC_prop1" "MSE_Test_MEC_prop2" "Base_Ret1" "Base_Ret2" "Hedge_Ret1" "Hedge_Ret2"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "3.39769874340275e-05" "6.92636370156745e-07" "4.47338795676095e-05" "5.19543798825965e-06" "4.47338795676095e-05" "1.5586313964779e-05" "0.00670241847477643" "0.00670241847477643" "0.00550125916496779" "0.00429209655694735"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.58040309844824e-05" "7.88107168456843e-07" "4.07420822022354e-05" "1.75694227548911e-06" "4.07420822022354e-05" "5.27082682646732e-06" "0.00640631934598375" "0.00640631934598375" "0.00621669737588417" "0.00453679536191975"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "4.17368327205348e-05" "9.10502530502587e-07" "3.97715773426205e-05" "3.68191971338333e-06" "3.97715773426205e-05" "1.104575914015e-05" "0.00630816587948947" "0.00630816587948947" "0.00560062281419278" "0.00517853472434921"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.60860040319808e-05" "9.37853133230884e-07" "3.813049614668e-05" "3.02196728938268e-06" "3.813049614668e-05" "9.06590186814805e-06" "0.00609373979875327" "0.00609373979875327" "0.00541246055062762" "0.0043276147604821"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.76561411868003e-05" "8.78399940326076e-07" "3.81347311753668e-05" "1.91440845059869e-06" "3.81347311753668e-05" "5.74322535179607e-06" "0.00613222198980561" "0.00613222198980561" "0.0058028929139172" "0.0052007538796665"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "3.13422261888784e-05" "7.98115593598077e-07" "3.27725217537522e-05" "2.43720856181836e-06" "3.27725217537522e-05" "7.31162568545507e-06" "0.00565970636245981" "0.00565970636245981" "0.00538821478187339" "0.00448757496726644"
"lm" "svmRadial" "1" "3" "0" "0.03" "3" "3" "4.2252483136718e-05" "7.46812010043102e-07" "4.02238899465476e-05" "2.65922176250429e-06" "4.02238899465476e-05" "7.97766528751288e-06" "0.00629252033826026" "0.00629252033826026" "0.00615072182214671" "0.00470265373023756"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.8333627241508e-05" "8.54246588131956e-07" "3.51447446761259e-05" "1.69811384794352e-06" "3.51447446761259e-05" "5.09434154383057e-06" "0.00587699512916789" "0.00587699512916789" "0.00548923136411837" "0.00474544349733991"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "4.70739686783853e-05" "8.12524976735943e-07" "3.85662503912125e-05" "1.47096528738356e-06" "3.85662503912125e-05" "4.41289586215069e-06" "0.00618228773574192" "0.00618228773574192" "0.006106355119959" "0.00501386879900146"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "4.59202880009814e-05" "8.13964264982697e-07" "3.15842897832558e-05" "1.6060805198321e-06" "3.15842897832558e-05" "4.8182415594963e-06" "0.00543119926345572" "0.00543119926345572" "0.00556446509300394" "0.00524026102682785"
"lm" "svmRadial" "1" "2.91078643429164" "0" "0.02" "3" "3" "4.4661146579137e-05" "7.95381363135422e-07" "3.56580242130951e-05" "1.80721389759556e-06" "3.56580242130951e-05" "5.26041369698448e-06" "0.00594103693978829" "0.00594103693978829" "0.0059471896249259" "0.00454865982975048"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.45419401244699e-05" "7.99538533830216e-07" "4.51315130466654e-05" "5.04036407842348e-06" "4.51315130466654e-05" "1.51210922352705e-05" "0.00668257712099547" "0.00668257712099547" "0.00593961905619672" "0.0040847437922785"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "3.69141107105414e-05" "8.82843394937214e-07" "3.34707461108012e-05" "2.06893284194705e-06" "3.34707461108012e-05" "6.20679852584115e-06" "0.00575731842121023" "0.00575731842121023" "0.00563292927833879" "0.00439285857300796"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "4.05610525928096e-05" "7.20760813319149e-07" "4.84704750121931e-05" "4.51600994437458e-06" "4.84704750121931e-05" "1.35480298331237e-05" "0.00689614982245095" "0.00689614982245095" "0.0063497932914799" "0.0044659536939346"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "4.46343299676146e-05" "7.08653930945128e-07" "3.0839518893979e-05" "1.31698140923754e-06" "3.0839518893979e-05" "3.95094422771263e-06" "0.00546359899723826" "0.00546359899723826" "0.00531966422335692" "0.00514587590336281"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "4.54711289621463e-05" "8.08898209726767e-07" "3.77851913638181e-05" "2.13233845117269e-06" "3.77851913638181e-05" "6.39701535351808e-06" "0.00607668074506515" "0.00607668074506515" "0.00604032172967326" "0.00484495708216305"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "4.02679879719513e-05" "7.51853682780202e-07" "3.64762661119484e-05" "1.91403852071497e-06" "3.64762661119484e-05" "5.74211556214492e-06" "0.00603035027674523" "0.00603035027674523" "0.00548693751098903" "0.00450389684403472"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "4.30105160467885e-05" "7.41754593108859e-07" "3.05075648277555e-05" "1.50869449574223e-06" "3.05075648277555e-05" "4.52608348722668e-06" "0.00546727968348602" "0.00546727968348602" "0.00545275692377675" "0.00454969418155627"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.37548924036033e-05" "9.40395919076006e-07" "4.03810998839942e-05" "2.96309015581242e-06" "4.03810998839942e-05" "8.88927046743725e-06" "0.00629864038515617" "0.00629864038515617" "0.00606451953566861" "0.0044966773943297"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.37446955509292e-05" "7.06423378287855e-07" "4.0297842432259e-05" "3.16886233907176e-06" "4.0297842432259e-05" "9.50658701721529e-06" "0.00623093862334191" "0.00623093862334191" "0.00578151742489485" "0.00471493802564455"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.67292526420669e-05" "7.44480458827067e-07" "3.4223309840223e-05" "2.62656076277564e-06" "3.4223309840223e-05" "7.87968228832693e-06" "0.00586101754201783" "0.00586101754201783" "0.00504825577803668" "0.0040487898092709"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.15370133991263e-05" "8.09757358714088e-07" "4.23165383150849e-05" "2.58372946213386e-06" "4.23165383150849e-05" "7.75118838640159e-06" "0.00653809519836111" "0.00653809519836111" "0.00644324616513361" "0.00493609820255844"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "2.98277123991615e-05" "6.68223539836466e-07" "3.65496302959468e-05" "3.19562351950824e-06" "3.65496302959468e-05" "9.58687055852473e-06" "0.00609819675983237" "0.00609819675983237" "0.00574904111432104" "0.0044908321854771"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "4.21085081661334e-05" "7.99204286932262e-07" "4.96519402764967e-05" "4.32109310557832e-06" "4.96519402764967e-05" "1.2963279316735e-05" "0.00703826270194063" "0.00703826270194063" "0.00652773323617541" "0.00570302732008466"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "4.26478594968243e-05" "8.15602237088211e-07" "4.84490118951525e-05" "3.25735932442514e-06" "4.84490118951525e-05" "9.77207797327542e-06" "0.00701419598759135" "0.00701419598759135" "0.00661811691742995" "0.00530074580302861"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "3.86900209678849e-05" "7.30504888769992e-07" "3.23998427996063e-05" "1.67031201903816e-06" "3.23998427996063e-05" "5.01093605711449e-06" "0.00564230078313171" "0.00564230078313171" "0.0053880530793036" "0.00421809557765219"
