"model1" "model2" "MEC1" "MEC2" "IAS1" "IAS2" "NF1" "NF2" "MSE_Train1" "MSE_Train2" "MSE_Test1" "MSE_Test2" "MSE_Test_MEC_prop1" "MSE_Test_MEC_prop2" "Base_Ret1" "Base_Ret2" "Hedge_Ret1" "Hedge_Ret2"
"1" "lm" "svmRadial" "1" "1.48485103798693" "0" "0.01" "3" "3" "1.12248445280375e-06" "6.59905671274125e-06" "8.90263710678124e-07" "5.97629507250115e-05" "8.90263710678124e-07" "8.87390794171954e-05" "0.0467116128224364" "0.0467116128224364" "0.000940606744166276" "0.0144237797042857"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "9.64189832602765e-07" "6.324197275231e-06" "9.70151218506661e-07" "7.52453793108656e-05" "9.70151218506661e-07" "7.52453793108656e-05" "0.0482763718728081" "0.0482763718728081" "0.000985746403997937" "0.0167821724180103"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "8.76487566740653e-07" "6.31771603798197e-06" "9.76061220022167e-07" "9.72375994409029e-05" "9.76061220022167e-07" "9.72375994409029e-05" "0.0486968100562989" "0.0486968100562989" "0.000988657475720585" "0.0153129539434597"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "8.9316716707322e-07" "6.58579689619972e-06" "1.02884093347048e-06" "5.97801832313182e-05" "1.02884093347048e-06" "5.97801832313182e-05" "0.0504711233490053" "0.0504711233490053" "0.00101417757861799" "0.015851555586299"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "9.28255463604332e-07" "6.90848189988679e-06" "1.11845653174681e-06" "2.60478582107956e-05" "1.11845653174681e-06" "2.60478582107956e-05" "0.0430385683363887" "0.0430385683363887" "0.00106165111349717" "0.0121871386644143"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "9.49433771197808e-07" "7.12053243008047e-06" "1.02997425662165e-06" "3.48956637969185e-05" "1.02997425662165e-06" "3.48956637969185e-05" "0.0466150306081022" "0.0466150306081022" "0.00101678251692225" "0.0161753667207638"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "1.09216476869689e-06" "6.18642710780948e-06" "8.55289836406597e-07" "3.85751388016006e-05" "8.55289836406597e-07" "3.85751388016006e-05" "0.0479169647074789" "0.0479169647074789" "0.000926786461897642" "0.0165640215346726"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "9.94738879707443e-07" "6.31861325636368e-06" "9.71251653797749e-07" "5.83150138673812e-05" "9.71251653797749e-07" "5.83150138673812e-05" "0.0485967598156957" "0.0485967598156957" "0.000987653933168215" "0.0162953550195492"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "1.02443122012592e-06" "6.52269936231449e-06" "1.06112096365781e-06" "7.8653678471305e-05" "1.06112096365781e-06" "7.8653678471305e-05" "0.0474815810819471" "0.0474815810819471" "0.00102754462423435" "0.0186438384924174"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "1.05897776947481e-06" "5.86453580226045e-06" "1.00478840311881e-06" "0.000140021748213315" "1.00478840311881e-06" "0.000140021748213315" "0.0502287412526305" "0.0502287412526305" "0.00100417055289401" "0.0169929555379568"
